age,gender,year,loc,deaths,nb_c,orphans
60-76,Male,2004,15,1380.779,0.10659983963871421,147
10-14,Female,2004,17,16.5435,0.009884400886843323,0
10-14,Male,2004,17,25.0005,3.2637392469718387e-4,0
15-19,Female,2004,17,31.892500000000002,0.2823435096210665,9
15-19,Male,2004,17,101.6835,0.07086641333448385,7
20-24,Female,2004,17,39.689,0.8718289141493084,35
20-24,Male,2004,17,180.95,0.4347727263225739,79
25-29,Female,2004,17,35.2755,1.4897202640555782,53
25-29,Male,2004,17,158.7675,1.0104671515363175,160
30-34,Female,2004,17,37.2755,1.9124830545572973,71
30-34,Male,2004,17,141.348,1.5706047962158123,222
35-39,Female,2004,17,50.1765,1.7893982329144322,90
35-39,Male,2004,17,143.4115,1.8653710664495313,268
40-44,Female,2004,17,71.757,1.257095005564776,90
40-44,Male,2004,17,147.587,1.6501885784642742,244
45-49,Female,2004,17,96.977,0.7099802133095384,69
45-49,Male,2004,17,162.6515,1.1890149484581292,193
50-54,Male,2004,17,175.803,0.7365931058713233,129
50-66,Female,2004,17,533.509,0.12228500695489711,65
55-59,Male,2004,17,191.863,0.41136253668776257,79
60-76,Male,2004,17,1019.6785,0.09873951806613032,101
10-14,Female,2004,18,8.2385,0.011607029002990502,0
10-14,Male,2004,18,12.415,3.785272795829017e-4,0
15-19,Female,2004,18,14.4775,0.33027614069905553,5
15-19,Male,2004,18,48.4315,0.08273801085101658,4
20-24,Female,2004,18,16.0015,0.9966852181417394,16
20-24,Male,2004,18,80.866,0.5014749690941446,41
25-29,Female,2004,18,14.8745,1.640507744975014,24
25-29,Male,2004,18,70.56,1.1379897908367653,80
30-34,Female,2004,18,14.645999999999999,2.0466069237930573,30
30-34,Male,2004,18,57.5445,1.7147132295436052,99
35-39,Female,2004,18,16.587,1.8887980719244253,31
35-39,Male,2004,18,50.658,1.9936216927652177,101
40-44,Female,2004,18,20.0925,1.3133831776522575,26
40-44,Male,2004,18,45.5875,1.7426437455759491,79
45-49,Female,2004,18,23.1905,0.7337257766248918,17
45-49,Male,2004,18,45.191,1.2471110068929365,56
50-54,Male,2004,18,48.131,0.7701606218749159,37
50-66,Female,2004,18,119.33449999999999,0.1253947990903774,15
55-59,Male,2004,18,55.530499999999996,0.42927094844019836,24
60-76,Male,2004,18,315.659,0.10189185237728628,32
10-14,Female,2004,19,22.813,0.011213077674941953,0
10-14,Male,2004,19,33.8535,3.7226517079150804e-4,0
15-19,Female,2004,19,42.6365,0.3197696890901909,14
15-19,Male,2004,19,137.5035,0.08061983745431986,11
20-24,Female,2004,19,50.514,0.9678148065076687,49
20-24,Male,2004,19,240.823,0.4899411993784498,118
25-29,Female,2004,19,44.0005,1.6064482393810062,71
25-29,Male,2004,19,205.2845,1.1137424712050998,229
30-34,Female,2004,19,41.9125,2.020145498296299,85
30-34,Male,2004,19,163.684,1.6887048986027389,276
35-39,Female,2004,19,50.779,1.8705211121723715,95
35-39,Male,2004,19,149.396,1.9750065844815754,295
40-44,Female,2004,19,68.3125,1.304298726137576,89
40-44,Male,2004,19,143.887,1.7327600722929102,249
45-49,Female,2004,19,86.2895,0.7313015158295388,63
45-49,Male,2004,19,148.852,1.242026398011757,185
50-54,Male,2004,19,164.571,0.7671996930547829,126
50-66,Female,2004,19,513.807,0.12532986878395075,64
55-59,Male,2004,19,188.5015,0.4278063339888754,81
60-76,Male,2004,19,1213.4275,0.10183757108478145,124
10-14,Female,2004,20,18.264499999999998,0.011544481847438667,0
10-14,Male,2004,20,26.4405,3.8373869696856056e-4,0
15-19,Female,2004,20,33.640499999999996,0.3300835724568425,11
15-19,Male,2004,20,104.018,0.08303197703641763,9
20-24,Female,2004,20,38.155,0.9807052431385901,37
20-24,Male,2004,20,172.107,0.5011628258275879,86
25-29,Female,2004,20,34.424,1.60086735702937,55
25-29,Male,2004,20,151.6895,1.1192787423414254,170
30-34,Female,2004,20,33.533500000000004,1.9909504775533755,67
30-34,Male,2004,20,124.8435,1.67351454207357,209
35-39,Female,2004,20,38.5725,1.8355397905504176,71
35-39,Male,2004,20,110.181,1.9400042791635346,214
40-44,Female,2004,20,47.307,1.2744361025770325,60
40-44,Male,2004,20,100.9585,1.6937761348002556,171
45-49,Female,2004,20,56.5925,0.7109643408355832,40
45-49,Male,2004,20,97.8495,1.2096100505099157,118
50-54,Male,2004,20,110.6485,0.7459435790879291,83
50-66,Female,2004,20,287.498,0.12138665977653217,35
55-59,Male,2004,20,122.6715,0.41582543436110003,51
60-76,Male,2004,20,639.716,0.0986906355850751,63
10-14,Female,2004,23,26.3205,0.011488067107218829,0
10-14,Male,2004,23,38.845,3.752833827466565e-4,0
15-19,Female,2004,23,49.1065,0.32755482100408545,16
15-19,Male,2004,23,154.08,0.08259959062409666,13
20-24,Female,2004,23,57.2095,0.9808121763652342,56
20-24,Male,2004,23,261.005,0.49966921387485663,130
25-29,Female,2004,23,52.727,1.603689121834133,85
25-29,Male,2004,23,237.017,1.121880663939378,266
30-34,Female,2004,23,53.042,1.9938867366203683,106
30-34,Male,2004,23,208.2465,1.677169754801499,349
35-39,Female,2004,23,62.861,1.8377322667146623,116
35-39,Male,2004,23,193.782,1.9439805287119714,377
40-44,Female,2004,23,80.6285,1.2763890735007843,103
40-44,Male,2004,23,180.6735,1.696837254570966,307
45-49,Female,2004,23,100.035,0.7122061515787721,71
45-49,Male,2004,23,182.809,1.2126960627214363,222
50-54,Male,2004,23,187.6325,0.7486493666050626,140
50-66,Female,2004,23,558.674,0.1216452567022347,68
55-59,Male,2004,23,225.984,0.4174128305193414,94
60-76,Male,2004,23,1336.633,0.09897752369960687,132
10-14,Female,2004,25,31.8005,0.01081845143551507,0
10-14,Male,2004,25,48.467,3.5310082086367767e-4,0
15-19,Female,2004,25,56.8625,0.31003923205216455,18
15-19,Male,2004,25,183.3085,0.0776883006667929,14
20-24,Female,2004,25,64.999,0.9566396785619269,62
20-24,Male,2004,25,301.5435,0.4764229487186673,144
25-29,Female,2004,25,59.126,1.6248638072424915,96
25-29,Male,2004,25,256.0245,1.1024648934802694,282
30-34,Female,2004,25,65.8185,2.0754978386576237,137
30-34,Male,2004,25,239.762,1.7030441417806585,408
35-39,Female,2004,25,90.368,1.937007833268965,175
35-39,Male,2004,25,255.753,2.016610101863493,516
40-44,Female,2004,25,121.9005,1.3582604692544102,166
40-44,Male,2004,25,258.3855,1.7810121669167003,460
45-49,Female,2004,25,150.489,0.7660720237307312,115
