Municipality,2015,2016,2017,2018,2019,2020,2021
27450 Medio San Juan,15,15,17,18,18,25,26
27491 Nóvita,15,14,14,17,15,19,23
27495 Nuquí,25,23,22,27,25,37,39
27580 Río Iró,5,5,6,9,7,12,12
27600 Río Quito,13,15,13,17,15,18,20
27615 Riosucio,101,99,99,118,114,168,185
27660 San José Del Palmar,6,6,7,6,13,11,13
27745 Sipí,3,3,3,4,3,5,5
27787 Tadó,25,33,27,26,27,37,41
27800 Unguía,20,21,20,22,21,30,32
27810 Unión Panamericana,8,9,9,11,10,15,16
41001 Neiva,538,524,497,516,518,664,812
41006 Acevedo,61,59,59,60,54,72,85
41013 Agrado,15,13,13,14,14,19,23
41016 Aipe,25,25,23,24,24,29,35
41020 Algeciras,37,37,35,37,35,45,51
41026 Altamira,3,3,3,2,2,6,7
41078 Baraya,14,13,12,15,12,19,21
41132 Campoalegre,51,52,50,58,45,55,61
41206 Colombia,13,10,10,13,10,19,21
41244 Elías,5,5,5,4,4,6,7
41298 Garzón,110,106,105,107,105,135,163
41306 Gigante,38,37,34,36,35,44,55
41319 Guadalupe,27,27,27,28,26,35,43
41349 Hobo,8,13,8,9,8,13,20
41357 Íquira,15,15,16,15,15,21,23
41359 Isnos,38,46,36,36,36,46,58
41378 La Argentina,25,21,21,22,20,28,31
41396 La Plata,96,92,91,96,91,120,141
41483 Nátaga,7,8,8,8,7,14,15
41503 Oporapa,21,20,20,22,21,27,28
41518 Paicol,7,7,7,7,7,10,15
41524 Palermo,36,33,32,34,33,45,51
41530 Palestina,19,19,19,20,19,25,29
41548 Pital,21,21,20,22,20,27,30
41551 Pitalito,212,226,211,203,202,269,327
41615 Rivera,30,30,30,31,30,39,48
41660 Saladoblanco,20,20,19,20,20,25,28
41668 San Agustín,46,46,43,45,45,59,70
41676 Santa María,18,17,17,19,16,23,26
41770 Suaza,29,28,28,31,31,40,47
41791 Tarqui,27,27,26,28,27,35,41
41797 Tesalia,17,17,14,15,14,19,22
41799 Tello,18,18,18,18,18,23,25
41801 Teruel,15,10,10,12,10,14,17
41807 Timaná,32,29,29,31,30,42,48
41872 Villavieja,16,11,8,8,8,15,17
41885 Yaguará,8,8,8,8,8,10,16
44001 Riohacha,279,277,282,358,361,487,573
44035 Albania,31,32,33,39,39,55,64
44078 Barrancas,46,45,45,49,49,64,84
44090 Dibulla,52,54,54,62,61,93,101
44098 Distracción,17,17,17,17,18,23,28
44110 El Molino,8,8,9,9,9,13,17
44279 Fonseca,51,49,50,53,53,71,93
44378 Hatonuevo,23,23,23,26,29,35,42
44420 La Jagua Del Pilar,2,3,2,3,3,5,6
44430 Maicao,236,239,247,316,335,436,573
44560 Manaure,123,123,121,147,146,214,222
44650 San Juan Del Cesar,59,59,58,60,62,86,104
44847 Uribia,279,273,274,346,342,503,508
44855 Urumita,13,13,13,13,13,17,22
44874 Villanueva,32,31,30,33,34,45,56
47001 Santa Marta,707,680,675,791,745,943,1380
47030 Algarrobo,23,23,22,24,24,33,39
47053 Aracataca,51,49,48,59,56,76,89
47058 Ariguaní,47,45,45,53,49,68,77
47161 Cerro De San Antonio,18,18,18,19,18,25,26
47170 Chivolo,34,33,32,36,37,47,58
47189 Ciénaga,175,166,162,175,176,239,299
47205 Concordia,21,20,20,20,20,28,30
47245 El Banco,99,95,94,102,102,140,157
47258 El Piñón,33,32,32,36,36,48,56
47268 El Retén,31,30,30,34,33,44,51
47288 Fundación,95,96,93,97,100,134,163
47318 Guamal,44,42,39,45,43,62,68
47460 Nueva Granada,27,29,31,36,35,49,55
47541 Pedraza,15,14,14,16,16,22,24
47545 Pijiño Del Carmen,19,19,19,20,19,27,30
47551 Pivijay,60,59,59,63,63,85,96
47555 Plato,91,89,88,98,93,131,152
47570 Puebloviejo,43,43,42,51,50,75,76
47605 Remolino,20,19,19,20,19,26,29
47660 Sabanas De San Ángel,26,26,26,29,27,41,45
47675 Salamina,18,17,16,19,19,22,25
47692 San Sebastián De Buenavista,31,29,30,35,33,48,51
47703 San Zenón,18,18,18,19,19,24,29
47707 Santa Ana,40,39,37,38,38,48,57
47720 Santa Bárbara De Pinto,16,18,19,19,19,25,26
47745 Sitionuevo,48,46,44,54,51,72,80
47798 Tenerife,24,22,21,24,23,30,35
47960 Zapayán,16,17,18,20,19,27,31
47980 Zona Bananera,556,569,94,106,106,145,169
50001 Villavicencio,788,740,662,699,676,810,1048
50006 Acacías,112,108,105,105,107,129,167
50110 Barranca De Upía,6,6,6,6,7,9,17
50124 Cabuyaro,7,7,7,7,7,8,12
50150 Castilla La Nueva,18,18,18,18,19,23,27
50223 Cubarral,8,7,8,6,6,8,15
50226 Cumaral,26,26,25,25,25,32,42
50245 El Calvario,0,0,0,0,0,0,0
50251 El Castillo,10,10,10,10,9,17,17
50270 El Dorado,5,3,3,3,6,6,7
50287 Fuente De Oro,19,18,18,18,18,23,26
50313 Granada,104,113,103,108,115,120,160
50318 Guamal,19,19,18,19,18,19,26
50325 Mapiripán,8,8,8,10,9,15,17
50330 Mesetas,20,18,19,17,15,23,27
50350 La Macarena,47,47,45,54,50,73,76
50370 Uribe,17,17,16,20,17,24,26
50400 Lejanías,18,18,18,18,17,22,24
50450 Puerto Concordia,12,11,13,19,13,18,22
50568 Puerto Gaitán,61,60,60,64,65,87,100
50573 Puerto López,58,60,47,43,44,54,65
50577 Puerto Lleras,16,15,15,16,14,22,26
50590 Puerto Rico,24,23,23,24,23,29,33
50606 Restrepo,21,21,20,20,20,24,33
50680 San Carlos De Guaroa,17,17,16,16,17,22,27
50683 San Juan De Arama,13,12,10,13,10,18,21
50686 San Juanito,0,0,0,0,0,0,0
50689 San Martín,32,31,29,28,29,42,48
50711 Vistahermosa,30,29,28,29,28,38,43
52001 Pasto,484,460,451,449,446,540,698
52019 Albán,18,18,18,18,16,21,24
52022 Aldana,10,8,9,9,9,13,16
52036 Ancuya,13,12,11,11,9,15,17
52051 Arboleda,15,15,15,17,15,21,23
52079 Barbacoas,92,90,89,101,98,135,142
52083 Belén,7,8,7,7,8,11,15
52110 Buesaco,38,36,37,37,35,47,55
52203 Colón,14,13,13,13,13,18,20
52207 Consacá,21,20,20,21,20,26,31
52210 Contadero,11,10,10,11,10,15,16
52215 Córdoba,23,22,21,23,22,28,31
52224 Cuaspud Carlosama,18,16,15,18,17,21,24
52227 Cumbal,49,48,49,50,47,59,74
52233 Cumbitara,11,7,7,8,7,12,16
52240 Chachagüí,23,22,21,21,21,25,31
52250 El Charco,37,36,36,40,37,56,59
52254 El Peñol,12,11,11,12,11,17,19
52256 El Rosario,23,22,21,24,22,29,35
52258 El Tablón De Gómez,25,25,25,26,25,33,36
52260 El Tambo,22,21,20,21,19,25,30
52287 Funes,10,10,9,10,9,16,17
52317 Guachucal,28,26,26,27,26,35,42
52320 Guaitarilla,19,19,19,19,17,20,24
52323 Gualmatán,10,10,9,9,9,13,16
52352 Iles,12,11,11,12,10,16,17
52354 Imués,13,11,11,13,11,16,18
52356 Ipiales,153,148,146,142,138,172,222
52378 La Cruz,26,25,25,25,25,32,37
52381 La Florida,21,20,20,20,20,25,27
52385 La Llanada,8,8,6,6,6,10,14
52390 La Tola,12,11,12,14,12,19,19
52399 La Unión,56,55,53,56,55,73,82
52405 Leiva,18,17,17,18,17,23,26
52411 Linares,18,16,15,16,15,18,22
52418 Los Andes,17,16,16,17,15,19,23
52427 Magüí,40,39,39,44,43,62,62
52435 Mallama,13,15,13,14,12,17,21
52473 Mosquera,23,23,22,23,23,30,32
52480 Nariño,5,6,7,8,6,12,9
52490 Olaya Herrera,43,40,40,45,41,60,62
52506 Ospina,8,8,7,7,7,11,16
52520 Francisco Pizarro,24,25,24,26,24,35,36
52540 Policarpa,17,19,21,23,18,21,25
52560 Potosí,16,14,13,14,13,16,20
52565 Providencia,9,9,8,10,10,14,15
52573 Puerres,13,12,12,12,11,15,17
52585 Pupiales,25,24,24,25,24,34,36
52612 Ricaurte,33,31,31,37,35,48,50
52621 Roberto Payán,23,22,22,24,23,34,35
52678 Samaniego,57,53,49,57,51,65,74
52683 Sandoná,31,29,29,28,24,35,43
52685 San Bernardo,20,19,19,20,19,25,28
52687 San Lorenzo,32,32,31,34,32,46,50
52693 San Pablo,25,25,23,24,22,33,35
52694 San Pedro De Cartago,11,12,11,14,11,17,19
52696 Santa Bárbara,23,22,22,26,24,35,39
52699 Santacruz,22,22,20,22,22,26,29
52720 Sapuyes,13,11,11,12,11,16,16
52786 Taminango,27,26,26,26,25,35,42
52788 Tangua,24,23,22,23,22,29,35
52835 San Andrés De Tumaco,384,371,369,411,392,523,585
52838 Túquerres,65,62,61,63,60,76,92
52885 Yacuanquer,19,18,19,19,17,23,25
54001 San José De Cúcuta,990,999,981,1068,1074,1516,1588
54003 Ábrego,53,49,49,54,53,74,83
54051 Arboledas,18,16,17,18,18,25,26
54099 Bochalema,9,8,8,10,10,16,18
54109 Bucarasica,7,7,7,10,8,16,18
54125 Cácota,3,5,2,4,4,6,6
54128 Cáchira,20,19,18,20,20,25,30
54172 Chinácota,23,21,21,23,23,30,35
54174 Chitagá,19,18,18,21,21,29,31
54206 Convención,30,27,27,35,32,44,51
54223 Cucutilla,17,16,16,19,17,24,25
54239 Durania,7,6,6,7,6,8,9
54245 El Carmen,25,25,24,25,25,36,37
54250 El Tarra,33,33,30,38,38,53,56
54261 El Zulia,39,36,47,39,40,54,62
54313 Gramalote,10,8,8,9,9,17,20
54344 Hacarí,18,17,17,19,19,25,27
54347 Herrán,9,9,9,12,10,17,20
54377 Labateca,8,8,8,8,8,11,14
54385 La Esperanza,17,17,17,20,20,26,28
54398 La Playa,14,14,12,15,18,23,23
54405 Los Patios,105,100,100,102,107,134,175
54418 Lourdes,4,4,4,4,4,7,8
54480 Mutiscua,4,4,4,4,5,8,9
54498 Ocaña,162,159,151,164,181,212,266
54518 Pamplona,60,58,56,56,59,70,90
54520 Pamplonita,7,6,6,7,7,8,13
54553 Puerto Santander,22,18,22,39,26,43,61
54599 Ragonvalia,8,8,8,8,8,12,14
54660 Salazar,17,17,15,18,16,23,25
54670 San Calixto,22,22,21,24,23,35,38
54673 San Cayetano,7,7,7,8,9,13,16
54680 Santiago,4,3,4,4,4,6,6
54720 Sardinata,40,38,36,41,40,56,65
54743 Silos,7,7,7,7,7,14,16
54800 Teorama,27,24,24,30,29,39,42
54810 Tibú,84,91,118,121,136,148,196
54820 Toledo,25,25,23,26,25,34,39
54871 Villa Caro,7,7,7,7,7,12,14
54874 Villa Del Rosario,128,123,121,123,129,161,203
63001 Armenia,436,418,369,375,351,426,518
63111 Buenavista,1,0,0,0,0,5,5
63130 Calarcá,94,103,90,102,85,105,133
63190 Circasia,34,33,40,32,33,37,48
63212 Córdoba,7,7,7,7,7,8,11
63272 Filandia,15,15,13,14,13,18,20
63302 Génova,11,11,18,9,9,14,17
63401 La Tebaida,48,55,45,49,55,52,65
63470 Montenegro,54,70,48,54,55,58,72
63548 Pijao,7,8,7,7,7,8,8
63594 Quimbaya,41,41,43,42,43,46,57
63690 Salento,11,11,10,11,11,14,18
66001 Pereira,655,610,574,579,571,628,809
66045 Apía,25,20,19,20,20,21,27
66075 Balboa,8,8,8,9,8,10,14
66088 Belén De Umbría,39,36,34,33,33,45,54
66170 Dosquebradas,257,248,242,240,243,283,369
66318 Guática,20,19,19,19,19,22,27
66383 La Celia,9,13,10,10,9,15,18
66400 La Virginia,55,64,55,54,44,58,52
66440 Marsella,25,24,24,24,22,29,36
66456 Mistrató,26,25,24,27,26,36,40
66572 Pueblo Rico,23,24,28,27,28,38,42
66594 Quinchía,44,42,41,41,40,51,61
66682 Santa Rosa De Cabal,102,101,94,93,91,112,143
66687 Santuario,20,20,20,20,19,25,29
68001 Bucaramanga,759,709,673,684,688,872,1181
68013 Aguada,0,0,4,3,4,1,8
68020 Albania,6,6,6,7,6,8,8
68051 Aratoca,11,10,10,12,10,18,20
68077 Barbosa,39,37,36,37,37,44,56
68079 Barichara,14,13,12,11,12,18,20
68081 Barrancabermeja,343,301,283,345,332,438,613
68092 Betulia,8,8,8,8,8,10,15
68101 Bolívar,21,18,18,19,18,23,25
68121 Cabrera,0,0,0,0,0,0,2
68132 California,0,0,0,0,0,0,2
68147 Capitanejo,7,6,6,6,6,8,9
68152 Carcasí,7,6,6,7,6,10,12
68160 Cepitá,0,0,0,0,0,0,2
68162 Cerrito,8,7,7,10,8,14,17
68167 Charalá,18,16,18,15,15,18,23
68169 Charta,3,0,0,0,1,5,6
68176 Chima,5,3,2,3,2,6,7
68179 Chipatá,6,7,6,6,6,9,12
68190 Cimitarra,48,46,47,53,47,65,76
68207 Concepción,7,7,7,7,7,10,12
68209 Confines,2,2,1,4,4,4,6
68211 Contratación,4,3,1,4,2,5,6
68217 Coromoro,8,15,8,8,7,9,13
68229 Curití,18,18,18,18,17,24,27
68235 El Carmen De Chucuri,38,39,37,41,39,53,59
68245 El Guacamayo,0,0,0,0,0,1,4
68250 El Peñón,7,7,7,7,7,11,13
68255 El Playón,23,21,18,22,20,27,30
68264 Encino,0,0,0,0,0,2,4
68266 Enciso,4,3,3,2,2,5,6
68271 Florián,8,8,7,9,8,15,16
68276 Floridablanca,328,317,315,312,320,389,537
68296 Galán,5,1,1,1,3,5,7
68298 Gámbita,8,6,6,6,6,7,8
68307 Girón,188,181,180,180,188,224,291
68318 Guaca,9,8,9,11,8,17,20
68320 Guadalupe,7,6,5,6,6,7,8
68322 Guapotá,0,0,4,0,0,1,4
68324 Guavatá,5,6,5,5,5,7,8
68327 Güepsa,6,5,5,5,5,7,9
68344 Hato,0,0,0,1,0,4,4
68368 Jesús María,5,4,4,5,2,6,6
68370 Jordán,0,0,0,0,0,0,1
68377 La Belleza,8,8,8,8,8,11,15
68385 Landázuri,18,19,17,17,17,24,23
68397 La Paz,7,7,6,7,6,7,10
68406 Lebrija,56,55,54,56,56,71,87
68418 Los Santos,24,22,22,25,24,29,35
68425 Macaravita,0,0,0,0,0,2,4
68432 Málaga,24,24,22,23,23,26,35
68444 Matanza,6,6,6,6,6,8,11
68464 Mogotes,18,18,20,18,17,23,25
68468 Molagavita,6,6,6,6,6,7,8
68498 Ocamonte,8,8,8,8,8,10,14
68500 Oiba,16,16,16,15,16,18,23
68502 Onzaga,7,7,7,7,6,8,8
68522 Palmar,0,0,0,0,0,0,0
68524 Palmas Del Socorro,4,0,0,3,0,0,2
68533 Páramo,5,4,5,4,5,6,8
68547 Piedecuesta,195,191,188,189,194,238,315
68549 Pinchote,6,6,6,6,6,7,7
68572 Puente Nacional,19,18,18,18,18,21,28
68573 Puerto Parra,8,7,8,8,8,14,16
68575 Puerto Wilches,44,43,42,45,45,62,73
68615 Rionegro,40,39,36,39,40,49,59
68655 Sabana De Torres,45,42,41,45,43,59,75
68669 San Andrés,16,16,12,13,11,18,22
68673 San Benito,6,5,4,4,4,7,7
68679 San Gil,65,64,61,62,64,78,102
68682 San Joaquín,3,0,1,0,0,1,5
68684 San José De Miranda,7,6,6,7,6,8,9
68686 San Miguel,0,0,0,0,0,3,5
68689 San Vicente De Chucurí,49,48,47,49,47,60,75
68705 Santa Bárbara,2,1,1,2,2,6,6
68720 Santa Helena Del Opón,4,4,4,4,4,5,6
68745 Simacota,18,17,17,17,17,22,23
68755 Socorro,40,41,38,36,36,44,56
68770 Suaita,17,17,15,16,17,18,23
68773 Sucre,11,11,9,9,10,17,18
68780 Suratá,6,6,6,6,6,7,7
68820 Tona,9,8,9,10,10,16,18
68855 Valle De San José,8,7,7,7,7,10,14
68861 Vélez,34,32,32,33,33,40,52
68867 Vetas,0,0,0,0,0,0,3
68872 Villanueva,9,9,9,9,9,12,18
68895 Zapatoca,11,10,13,10,11,16,18
70001 Sincelejo,397,389,389,406,407,512,638
70110 Buenavista,18,16,16,18,18,23,25
70124 Caimito,25,25,25,26,25,35,42
70204 Colosó,17,15,15,17,14,21,24
70215 Corozal,93,89,86,91,89,113,138
70221 Coveñas,20,22,22,26,26,37,42
70230 Chalán,8,8,8,8,8,11,14
70233 El Roble,19,19,19,20,20,27,26
70235 Galeras,30,28,26,31,31,46,50
70265 Guaranda,29,28,27,32,31,45,47
70400 La Unión,21,21,21,22,21,28,33
70418 Los Palmitos,34,31,30,34,34,46,50
70429 Majagual,62,60,61,68,66,96,106
70473 Morroa,23,22,22,23,23,29,32
70508 Ovejas,39,37,36,40,38,50,55
70523 Palmito,23,23,22,24,24,36,39
70670 Sampués,73,69,69,83,78,109,124
70678 San Benito Abad,52,51,51,54,51,73,79
70702 San Juan De Betulia,21,21,21,21,21,27,32
70708 San Marcos,93,90,89,98,96,135,147
70713 San Onofre,81,79,76,90,90,126,136
70717 San Pedro,28,28,28,28,28,39,44
70742 San Luis De Sincé,49,48,47,50,48,67,75
70771 Sucre,52,51,50,56,52,77,85
70820 Santiago De Tolú,46,44,43,47,45,61,66
70823 San José De Toluviejo,30,29,29,33,31,44,49
73001 Ibagué,645,640,595,592,592,682,877
73024 Alpujarra,6,7,5,7,5,6,8
73026 Alvarado,12,11,12,11,11,18,19
73030 Ambalema,10,8,8,16,8,9,12
73043 Anzoátegui,19,18,18,19,18,25,27
73055 Armero,20,18,16,18,15,19,24
73067 Ataco,34,31,30,35,32,47,51
73124 Cajamarca,29,27,27,26,27,32,41
73148 Carmen De Apicalá,11,11,11,10,11,17,19
73152 Casabianca,9,8,8,8,8,12,15
73168 Chaparral,83,77,75,84,77,101,119
73200 Coello,11,10,9,10,12,14,18
73217 Coyaima,37,36,32,39,37,53,57
73226 Cunday,13,13,11,10,10,16,19
73236 Dolores,11,10,9,9,9,13,18
73268 Espinal,100,93,95,95,97,103,172
73270 Falan,9,9,9,9,9,15,18
73275 Flandes,40,35,31,32,35,41,57
73283 Fresno,48,48,48,46,45,58,66
73319 Guamo,49,48,42,44,40,55,67
73347 Herveo,14,12,11,12,11,18,19
73349 Honda,35,41,34,29,31,37,55
73352 Icononzo,17,17,14,16,15,21,24
73408 Lérida,30,30,22,22,22,29,37
73411 Líbano,58,56,51,52,49,63,77
73443 San Sebastián De Mariquita,52,48,45,47,46,59,77
73449 Melgar,48,47,55,46,47,58,72
73461 Murillo,6,7,6,7,6,8,9
73483 Natagaima,26,29,23,25,23,30,34
73504 Ortega,54,51,50,53,51,71,78
73520 Palocabildo,17,17,13,15,14,20,21
73547 Piedras,8,8,8,8,8,9,12
73555 Planadas,41,38,54,42,37,55,63
73563 Prado,12,11,9,9,9,16,17
73585 Purificación,33,30,32,31,30,39,47
73616 Rioblanco,38,34,35,36,36,50,54
73622 Roncesvalles,7,7,6,8,7,10,11
73624 Rovira,37,45,36,34,34,43,49
73671 Saldaña,21,21,20,20,20,27,30
73675 San Antonio,23,21,21,22,21,26,31
73678 San Luis,20,19,19,19,19,23,29
73686 Santa Isabel,8,8,8,8,8,11,14
73770 Suárez,4,5,4,4,4,6,7
73854 Valle De San Juan,7,7,7,7,7,8,8
73861 Venadillo,20,20,18,19,18,21,27
73870 Villahermosa,18,17,17,17,16,20,23
73873 Villarrica,7,7,7,7,7,7,9
76001 Cali,2937,2845,2633,2690,2634,2961,3627
76020 Alcalá,20,25,21,23,25,27,38
76036 Andalucía,27,26,31,34,22,29,35
76041 Ansermanuevo,29,26,31,28,26,28,41
76054 Argelia,8,7,7,8,8,7,9
76100 Bolívar,20,20,20,20,21,25,29
76109 Buenaventura,446,373,373,444,474,498,649
76111 Guadalajara De Buga,193,160,142,145,145,154,207
76113 Bugalagrande,33,34,32,32,32,37,47
76122 Caicedonia,52,62,48,44,46,41,52
76126 Calima,23,26,21,22,22,27,35
76130 Candelaria,101,107,98,106,115,123,148
76147 Cartago,191,174,165,163,173,174,260
76233 Dagua,64,60,58,61,59,74,90
76243 El Águila,16,15,15,14,11,18,21
76246 El Cairo,8,8,8,8,8,10,14
76248 El Cerrito,77,64,67,65,64,73,89
76250 El Dovio,18,18,12,15,10,17,22
76275 Florida,68,69,64,67,63,72,112
76306 Ginebra,26,25,24,24,23,29,38
76318 Guacarí,39,43,40,41,40,42,60
76364 Jamundí,185,178,175,181,181,216,291
76377 La Cumbre,20,20,20,20,19,24,30
76400 La Unión,47,43,42,46,38,52,66
76403 La Victoria,23,18,14,13,18,18,23
76497 Obando,20,20,15,15,18,18,24
76520 Palmira,435,408,384,394,380,426,579
76563 Pradera,67,60,64,68,58,66,90
76606 Restrepo,20,27,19,21,18,20,26
76616 Riofrío,21,20,20,19,18,21,29
76622 Roldanillo,47,46,41,38,37,45,58
76670 San Pedro,22,20,23,20,19,21,28
76736 Sevilla,59,55,50,49,48,63,80
76823 Toro,20,21,20,28,21,22,30
76828 Trujillo,26,25,24,25,23,29,39
76834 Tuluá,306,240,239,235,266,308,420
76845 Ulloa,6,6,6,6,6,7,8
76863 Versalles,9,9,9,9,9,9,14
76869 Vijes,17,15,14,14,13,18,22
76890 Yotoco,20,21,21,19,21,22,30
76892 Yumbo,128,131,117,117,124,135,180
76895 Zarzal,48,46,42,51,44,52,68
81001 Arauca,125,115,114,132,138,168,203
81065 Arauquita,68,66,68,76,77,112,135
81220 Cravo Norte,6,6,6,6,5,8,8
81300 Fortul,30,30,29,36,35,49,55
81591 Puerto Rondón,5,5,5,5,5,8,9
81736 Saravena,74,85,72,78,103,103,122
81794 Tame,95,91,98,91,103,99,126
85001 Yopal,214,211,206,217,231,283,453
85010 Aguazul,48,46,46,51,47,58,74
85015 Chámeza,1,1,0,0,3,1,4
85125 Hato Corozal,20,21,19,21,21,26,29
85136 La Salina,1,0,0,0,0,0,1
85139 Maní,24,24,24,24,24,29,35
85162 Monterrey,24,23,22,24,23,27,33
85225 Nunchía,16,16,15,17,15,22,25
85230 Orocué,17,17,17,19,18,23,29
85250 Paz De Ariporo,47,52,46,52,50,63,78
85263 Pore,16,17,17,19,18,23,27
85279 Recetor,0,0,0,0,0,0,0
85300 Sabanalarga,4,4,2,3,2,6,6
85315 Sácama,0,0,0,0,0,0,2
85325 San Luis De Palenque,11,10,11,11,11,16,17
85400 Támara,9,8,8,8,8,13,14
85410 Tauramena,29,27,27,28,30,38,48
85430 Trinidad,19,19,19,20,19,23,29
85440 Villanueva,43,41,40,42,41,55,70
86001 Mocoa,68,64,133,69,70,85,111
86219 Colón,5,4,4,4,4,6,11
86320 Orito,51,52,52,55,53,65,79
86568 Puerto Asís,99,95,92,113,98,136,181
86569 Puerto Caicedo,23,22,22,24,24,28,33
86571 Puerto Guzmán,55,53,54,60,60,82,91
86573 Puerto Leguízamo,39,38,38,42,43,57,66
86749 Sibundoy,19,18,18,18,18,21,29
86755 San Francisco,6,5,5,5,5,6,10
86757 San Miguel,27,26,26,29,28,39,44
86760 Santiago,8,8,9,9,8,13,16
86865 Valle Del Guamuez,52,50,49,54,51,65,76
86885 Villagarzón,31,29,31,31,30,43,50
88001 San Andrés,68,66,65,62,61,78,97
88564 Providencia,6,6,6,7,5,7,9
91001 Leticia,96,72,70,75,82,165,181
91263 El Encanto,3,0,0,1,0,4,3
91405 La Chorrera,2,2,4,4,2,5,5
91407 La Pedrera,5,4,5,5,5,7,9
91430 La Victoria,0,0,0,0,0,0,0
91460 Mirití - Paraná,0,0,0,0,0,3,3
91530 Puerto Alegría,0,0,0,0,0,0,0
91536 Puerto Arica,0,0,0,0,0,0,0
91540 Puerto Nariño,16,16,14,17,17,21,23
91669 Puerto Santander,0,0,0,1,0,4,4
91798 Tarapacá,4,4,4,5,4,6,6
94001 Inírida,45,47,46,56,52,76,81
94343 Barrancominas,7,7,7,7,7,17,18
94883 San Felipe,0,0,0,0,0,2,2
94884 Puerto Colombia,0,0,0,1,0,3,3
94885 La Guadalupe,0,0,0,0,0,0,0
94886 Cacahual,0,0,0,0,0,0,0
94887 Pana Pana,0,0,0,0,0,4,4
94888 Morichal,0,0,0,0,0,0,0
95001 San José Del Guaviare,71,72,80,89,98,97,124
95015 Calamar,16,16,16,17,16,26,27
95025 El Retorno,20,21,19,22,21,30,34
95200 Miraflores,11,13,10,13,13,19,22
97001 Mitú,44,43,41,45,44,64,67
97161 Carurú,3,3,2,4,6,5,5
97511 Pacoa,4,4,3,4,4,6,6
97666 Taraira,0,0,0,1,0,3,2
97777 Papunahua,0,0,0,0,0,0,0
97889 Yavaraté,0,0,0,0,0,0,0
99001 Puerto Carreño,40,34,38,45,37,48,57
99524 La Primavera,20,20,17,19,16,24,26
99624 Santa Rosalía,5,5,5,6,5,12,9
99773 Cumaribo,119,119,118,141,139,212,217
