loc,year,orphans,children,orphan_rate
5,2004,9766.121560336045,1881468.8765279555,519.0689934961003
8,2004,3803.464589539364,752176.6538263947,505.6610797730527
11,2004,11061.39439837468,2262756.2936727447,488.84603389703153
13,2004,2882.5990171948397,684007.2954429836,421.4281099630644
15,2004,1589.1898082787382,384890.30259494047,412.8942188369983
17,2004,1848.8998465392679,316958.33031371026,583.3258411947447
18,2004,645.3224980984977,162759.62573550193,396.4880695579879
19,2004,2047.6671484963836,483273.63920236565,423.7076021518618
20,2004,1463.5392829312102,394025.2915915861,371.4328278318219
23,2004,2543.305103906157,577253.5178617836,440.5871987280155
25,2004,3073.469078081491,673044.842314739,456.6514569090525
27,2004,508.707996492973,179129.789945398,283.9884960776409
41,2004,1631.23719550324,358747.6947212343,454.7031854158105
44,2004,934.5454970555264,290494.5952416357,321.708394016131
47,2004,1806.2390888621376,429944.78949237056,420.10954266819635
50,2004,1458.0798200382728,295833.9142146511,492.8710840706112
52,2004,2294.720441599087,536442.2955924396,427.7665017194121
54,2004,2184.2212503295978,466523.6691571483,468.1908753473865
63,2004,913.7822354351466,157537.28380379116,580.0418880988453
66,2004,1804.5100501448903,281459.7651251304,641.1254018288004
68,2004,2971.5823022383443,632225.5048047956,470.019364871375
70,2004,1238.8747451756717,296252.48180775065,418.1820647091234
73,2004,2195.2825720579885,454316.4733926583,483.2055847908121
76,2004,8142.83182391221,1390062.618428287,585.7888497943445
81,2004,499.3993825988112,94179.91258947368,530.2610385461625
85,2004,488.67264732747685,132510.05497245895,368.7815595797943
86,2004,386.21690066490356,111035.0353937395,347.83336565377425
88,2004,103.74962962070637,21683.26600714482,478.47787130647197
91,2004,73.502866701145,27836.664358643353,264.05055488741476
94,2004,33.82880150202596,14775.058823529413,228.95882788739422
95,2004,166.60472030482634,32604.454501972978,510.9876023067482
97,2004,26.107233282625693,12980.982890855457,201.1190793650696
99,2004,126.39799485046676,36875.916404299205,342.7657050327041
5,2005,8870.336714838337,1874187.732247233,473.2896583525502
8,2005,3459.859366024341,756347.5961099882,457.4430306672394
