age,gender,year,loc,deaths,nb_c,orphans
35-39,Female,2004,17,50,1.3853603629053106,69
35-39,Male,2004,17,132,1.4394096951998896,190
40-44,Female,2004,17,66,0.9775062076858241,65
40-44,Male,2004,17,142,1.2900449802058358,183
45-49,Female,2004,17,72,0.5620614597392792,40
45-49,Male,2004,17,144,0.9250900450169406,133
50-54,Male,2004,17,157,0.5756388423840759,90
50-66,Female,2004,17,496,0.09459674039057624,47
55-59,Male,2004,17,168,0.3326349254508696,56
60-76,Male,2004,17,1005,0.08648535472629569,87
10-14,Female,2004,18,8,0.016376917682647693,0
10-14,Male,2004,18,12,1.5563557138708413e-4,0
15-19,Female,2004,18,19,0.3121882583887435,6
15-19,Male,2004,18,55,0.06845088167175234,4
20-24,Female,2004,18,25,0.8272312262099937,21
20-24,Male,2004,18,142,0.3814461874746222,54
25-29,Female,2004,18,23,1.2862004476326176,30
25-29,Male,2004,18,116,0.826236658889311,96
30-34,Female,2004,18,22,1.561563758927522,34
30-34,Male,2004,18,76,1.2406016306051388,94
35-39,Female,2004,18,20,1.3838945641723088,28
35-39,Male,2004,18,69,1.4843956624105925,102
40-44,Female,2004,18,17,0.9608117216402323,16
40-44,Male,2004,18,67,1.3769401327907527,92
45-49,Female,2004,18,17,0.5571204055847747,9
45-49,Male,2004,18,47,1.0408894316906232,49
50-54,Male,2004,18,30,0.6917627084027259,21
50-66,Female,2004,18,107,0.10653925371137735,11
55-59,Male,2004,18,40,0.4129102932901173,17
60-76,Male,2004,18,227,0.09602093253319688,22
10-14,Female,2004,19,26,0.009300669160323492,0
10-14,Male,2004,19,27,3.601640514389018e-4,0
15-19,Female,2004,19,42,0.2451246701522868,10
15-19,Male,2004,19,124,0.0781437604474869,10
20-24,Female,2004,19,47,0.6972073473202943,33
20-24,Male,2004,19,216,0.38288272117937894,83
25-29,Female,2004,19,41,1.144921656544442,47
25-29,Male,2004,19,170,0.8240983498067935,140
30-34,Female,2004,19,31,1.4597085799635852,45
30-34,Male,2004,19,156,1.2374839981974037,193
35-39,Female,2004,19,43,1.3377857036338405,58
35-39,Male,2004,19,129,1.430469480432184,185
40-44,Female,2004,19,58,0.9792160246211892,57
40-44,Male,2004,19,106,1.245561204483651,132
45-49,Female,2004,19,82,0.6067998887440118,50
45-49,Male,2004,19,122,0.911293685580051,111
50-54,Male,2004,19,122,0.5893522157456119,72
50-66,Female,2004,19,375,0.13243667778081417,50
55-59,Male,2004,19,144,0.33890100009930724,49
60-76,Male,2004,19,768,0.08185998410090253,63
10-14,Female,2004,20,7,0.01010864748670121,0
10-14,Male,2004,20,24,2.5868530928182637e-4,0
15-19,Female,2004,20,30,0.286147638005072,9
15-19,Male,2004,20,71,0.0565344938091335,4
20-24,Female,2004,20,26,0.8023267519471587,21
20-24,Male,2004,20,145,0.40454241332426844,59
25-29,Female,2004,20,26,1.2858379333465342,33
25-29,Male,2004,20,119,0.938554757957953,112
30-34,Female,2004,20,25,1.5815423636077401,40
30-34,Male,2004,20,125,1.4323210472605155,179
35-39,Female,2004,20,30,1.4422964494895614,43
35-39,Male,2004,20,105,1.6911737213198552,178
40-44,Female,2004,20,37,0.9994461044577877,37
40-44,Male,2004,20,91,1.4989908977827027,136
45-49,Female,2004,20,55,0.5366919129312857,30
45-49,Male,2004,20,92,1.0801724928637517,99
50-54,Male,2004,20,89,0.6657208051334187,59
50-66,Female,2004,20,232,0.08709769737774897,20
55-59,Male,2004,20,94,0.3782539113984015,36
60-76,Male,2004,20,481,0.0926480238024112,45
10-14,Female,2004,23,10,0.010116401191658023,0
10-14,Male,2004,23,31,2.708563561440428e-4,0
15-19,Female,2004,23,27,0.24152655805701928,7
15-19,Male,2004,23,66,0.043880760807902375,3
20-24,Female,2004,23,41,0.7207867276371053,30
20-24,Male,2004,23,121,0.32659147921631126,40
25-29,Female,2004,23,28,1.1918853133982361,33
25-29,Male,2004,23,116,0.7918331157972238,92
30-34,Female,2004,23,41,1.4880880877290796,61
30-34,Male,2004,23,91,1.258582729637638,115
35-39,Female,2004,23,43,1.3382844310047772,58
35-39,Male,2004,23,102,1.5157175464596653,155
40-44,Female,2004,23,51,0.8888984561820804,45
40-44,Male,2004,23,82,1.3417213828897776,110
45-49,Female,2004,23,69,0.4586400474390205,32
45-49,Male,2004,23,86,0.9462713619273623,81
50-54,Male,2004,23,107,0.5875813746120043,63
50-66,Female,2004,23,338,0.07104712142824206,24
55-59,Male,2004,23,116,0.3340206702206703,39
60-76,Male,2004,23,603,0.07587399969652138,46
10-14,Female,2004,25,26,0.008119451667666106,0
10-14,Male,2004,25,50,3.455400305010827e-4,0
15-19,Female,2004,25,56,0.2812134708430869,16
15-19,Male,2004,25,149,0.0746583445630013,11
20-24,Female,2004,25,56,0.8670556230153392,49
20-24,Male,2004,25,238,0.46884110414072483,112
25-29,Female,2004,25,54,1.4247911851812738,77
25-29,Male,2004,25,199,1.066330530238403,212
30-34,Female,2004,25,48,1.734117545558582,83
30-34,Male,2004,25,196,1.522716347933727,298
